created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at
15-10-2020 0.00,1.32E+18,"In 2020, #NYPost is being #censorship #CENSORED by Twitter to manipulate a US election in favor of #JoeBiden and against #Trump.

but CCP from #China or porn on Twitter? 

That’s always been fine for @jack @vijaya @dickc @KatieS.

@marciadorsey is @jack sick?",0,0,Twitter for iPhone,19940334,Change Illinois | Biden will increase taxes by $4T,changeillinois,"Illinois, home of Lincoln and Reagan, used to be crossroads of America. Now, it's epicenter of political mafia, corruption and #ChicagoWay. #ChangeIllinois",02-02-2009 23.08,1396,"Chicago, Illinois",41.8755616,-87.6244212,Chicago,United States of America,North America,Illinois,IL,0.04.01
15-10-2020 0.00,1.32E+18,#Trump #PresidentTrump #Trump2020LandslideVictory #Trump2020 #MAGA #KAG #4MoreYears #America #AmericaFirst #AllLivesMatter #Winning #Vote #VoteInPerson #VoteTrump #VotePresidentTrump https://t.co/TzXBKOvgNs,3,5,Twitter for Android,1.24E+18,Ron Burgundy,Anchorman_USA,"I'm kind of a Big Deal, People know me! I drive a 1970 Pontiac Catalina. ❤ my Dog Baxter, Scotch, Mahogany & Pool Parties.
Stay Classy #America 🇺🇸 #MAGA #KAG",26-03-2020 23.14,496,"San Diego, CA",32.7174209,-117.1627714,San Diego,United States of America,North America,California,CA,0.04.05
15-10-2020 0.00,1.32E+18,"@Susan_Hutch @JoeBiden #Ukraine @RealDonaldTrump impeachment #FactCheck ‘how’ often #Trump &amp; @GOP lied!!!

https://t.co/OFbVPBQs1s",2,0,Twitter Web App,343956175,Sebastian White,SebWrites,"Tortured, literary genius, well probably the first. Figured if I concentrate on the former, that the latter is 'bound' to occur... sooner or later!",28-07-2011 10.07,2755,Edinburgh ~ Heart of Scotland!,55.9533456,-3.1883749,City of Edinburgh,United Kingdom,Europe,Scotland,SCT,0.05.02
15-10-2020 0.00,1.32E+18,►► Tell Politicians to STICK IT with this FREE Item! ►► https://t.co/sua2FPNJTS ►► #2020 #Biden #Deomocrat #Election #Politician #Politics #President #Republican #Trump #VPDebate ►► @FreebieDepot https://t.co/QTRW3eMtd0,0,0,Freebie-Depot,103083214,🆓 Freebie Depot,FreebieDepot,"Free Stuff - No Fluff!  Get all kinds of FREE Stuff, FREE Samples, FREE Calendars, FREE Coupons, FREE, FREE, FREE! #freebies #freestuff #free #frugal #samples",08-01-2010 20.44,6402,USA - Land of the FREE!,,,,,,,,0.04.09
15-10-2020 0.00,1.32E+18,"@meiselasb I wonder which drugs #Trump takes?🤪

That's not only masses of burgers🍔🍔🍔

Maybe he's still on his #dexamethasone high🎃

Currently high.

But in November at the latest he'll be low😩
#TrumpCovid19
#TrumpIsALaughingStock
#TrumpIsALoser
#VoteHimOut

#VoteBlueToEndThisNightmare https://t.co/Xyk2GuJM8Y",3,1,Twitter Web App,8.32E+17,Mark Rager,Hervorrager,"Diploma-Biologist 🤓🧠🦈🏡
Neurobiology, Molecular Biology, Human Biology
Medicine, Health, ME/CFS
Human Rights
Satire😜

⚠️Tweets can contain irony & sarcasm⚠️",16-02-2017 23.54,828,Germany,51.0834196,10.4234469,,Germany,Europe,,,0.06.00
15-10-2020 0.00,1.32E+18,"#Ukraine @RealDonaldTrump impeachment #FactCheck ‘how’ often #Trump &amp; @GOP lied!!!

https://t.co/OFbVPBQs1s https://t.co/1n6bTkYOIW",0,2,Twitter Web App,343956175,Sebastian White,SebWrites,"Tortured, literary genius, well probably the first. Figured if I concentrate on the former, that the latter is 'bound' to occur... sooner or later!",28-07-2011 10.07,2755,Edinburgh ~ Heart of Scotland!,55.9533456,-3.1883749,City of Edinburgh,United Kingdom,Europe,Scotland,SCT,0.05.06
15-10-2020 0.00,1.32E+18,"Now Open! Create a FREE U.S. Election Pick'em Pool. Add some excitement to the potential chaos. Pick who you think will become President, who will win the Swing States, the popular vote, and more!
🇺🇲https://t.co/W6FKnaXVMT
#MAGA2020 #Trump #Biden #Politics #USElection2020 https://t.co/NwNfiZsy53",0,0,Hootsuite Inc.,21932049,OfficePools.com,officepools_com,Visit https://t.co/CdmWfqRMIS to play now! #fantasyhockey #fantasysports #hockeypool #footballpool #NHLpool #golfpool,25-02-2009 22.52,967,,,,,,,,,0.06.03
15-10-2020 0.00,1.32E+18,#Trump https://t.co/Y9p5BZEHuT,1,1,Twitter Web App,1.08E+18,Cheryl,Cheryl84037124,,10-01-2019 15.34,49,,,,,,,,,0.06.07
15-10-2020 0.01,1.32E+18,"@cnnbrk #Trump owes #RicardoAguirre $730,000 to pay for the mass murder of his family. #TrumpLiedPeopleDied @FauciFan",3,2,Twitter for iPhone,194650429,MoClarker,MoClarker,Media Maven/Scientist/Fan O Fauci,24-09-2010 17.15,101,Santa Monica Beach,47.0052108,-88.9629096,,United States of America,North America,Michigan,MI,0.07.01
15-10-2020 0.01,1.32E+18,#Democrats have spent more #tax #payer #paid #time &amp; #money on #chasing &amp; #attacking #TRUMP #not #doing #their #jobs #serving the #public as #elected #USA #NO GOOD REASON'S NOT TO #ECONOMICALLY #BAIL #PEOPLE OUT &amp; #PROTECT THEM TOO AS YOU TOOK #OATH TOO. #USA https://t.co/bRMhvloyKt,0,0,Twitter Web App,37738708,E Turner,Webinfotech,"Christian Veteran - My Oath to my Country, Flag, and Constitution never discharged.🇺🇸♠️🗽⚖️",04-05-2009 19.48,275,United States,39.7837304,-100.4458825,,United States,North America,,,0.07.08
15-10-2020 0.01,1.32E+18,"When you know you can put people in their graves and get away with it, you go to #Trump  rallies, mask-less. Like canned sardines.

#COVID19 #SuperSpreader #TrumpRally
#TrumpRallyDesMoines #pandemic
#TrumpCovid19 https://t.co/yO7ZP9HHFo",0,0,Twitter for Android,412036425,It Is Merely Me,andThisAndThat,"If you can't feed 100 people then feed just one.      

#SaveTheEarth #ClimateChange #ClimateAction
🇱🇷⚖🗽🌏
#Resist #VoteBlue",14-11-2011 5.49,5974,Mother Earth,,,,,,,,0.07.05
15-10-2020 0.01,1.32E+18,"#Trump: Nobody likes to tell you this, but some of the farmers were doing better the way I was doing it than they were by working their asses off.

And that check? It's totally in the mail, right Don?",1,1,Twitter Web App,8436472,snarke,snarke,"Will mock for food! Freelance writer, blogger, commentator. Civics nerd. She/Her",26-08-2007 5.56,1185,Portland,45.5202471,-122.6741949,Portland,United States of America,North America,Oregon,OR,0.08.02
15-10-2020 0.01,1.32E+18,@tedcruz @cc125 #Trump2020 #BLM #obama #VoteRed #BidenHarris2020 #Blacklivesmatter #mikepence #Debates2020 #KamalaHarris #KamalaHarrisVP #biden #riots #hunterbidden #AOC #Trump #IlhanOmar #gavinnewsom #tedwheeler #GretchenWhitmer &gt;&gt; This is only the begining its going to get worse! https://t.co/jcccPhWtgY,1,0,Twitter Web App,1.31E+18,Infamous One,InfamousOne13,"""The company you keep can have a major impact on your life."" 
 - Semper Fi -",27-09-2020 2.14,361,,,,,,,,,0.08.06
15-10-2020 0.01,1.32E+18,"@MarcInPhoenix @CIAspygirl #Trump
#Covid19
#TrumpLiesAmericansDie

Immunologist Florian Kramme, “#herdimmunity through natural infections is not a strategy, but an indication for the government’s malfunction to control a break out and to pay for this with lost lives.” 

https://t.co/ddEFm2Lqvj",1,1,Twitter Web App,240532719,William Jones 😷🌊 🇦🇺🐸,william7424,"Retired International Banker(Don't hold this against me, I cleaned up messes LOL), Avid GeoPolitical and National Political observer",20-01-2011 4.11,1776,Australia,-24.7761086,134.755,,Australia,Oceania,,,0.09.00
15-10-2020 0.01,1.32E+18,"@RudyGiuliani @Twitter @PressSec You right @RudyGiuliani Censorship should be Condemned 
Cc Trump and the GOP

Not the American way.

Now let's redo Trump's Impeachment this time without the CENSORSHIP...
#AmericaFirst #BidenCares #DonaldTrump #BidenWillCrushCovid #BidenHarris2020ToSaveAmerica https://t.co/MrOa2Cgsd0",0,0,Twitter for Android,1010405455,David Goldstein,Amambo12Carlos,"We are part of a Symbiotic relationship with someone wich disguises as a terrestrial so as not to ALARM us. 
THE KINGDOM OF GOD IS an advanced CIVILIZATION...",14-12-2012 4.32,2002,"Florida, USA",27.7567667,-81.4639835,,United States of America,North America,Florida,FL,0.09.03
15-10-2020 0.01,1.32E+18,"@realDonaldTrump just quoted China’s Xu, Russia’s Putin and North Korea’s Kim as leaders who are 100%
No mention of leaders of Allied countries, this is the president of the USA? @CNN @andersoncooper 
#trump #TrumpIsUnfitForOffice",1,0,Twitter for iPhone,7.14E+17,Brian Speaking,Sainter_Boys,Love the Skobbers and the Sainters.,28-03-2016 9.38,617,Everywhere,,,,,,,,0.09.07
15-10-2020 0.01,1.32E+18,"Comments on this? ""Do Democrats Understand how Ruthless China is?"" https://t.co/QevK00yhs3 #China #HunterBiden #JoeBiden #BidenHarris #BidenHarris2020 #TrumpPence2020 #Trump #realDonaldTrump #WTO #coronavirus #trade https://t.co/Wjm1hyTFNZ",0,0,Twitter Web App,101659277,John Ubaldi,ubaldireports,Just Facts... No Fiction on domestic and global political issues.,04-01-2010 4.34,83,"Tampa, Florida",27.9477595,-82.458444,Tampa,United States of America,North America,Florida,FL,0.10.01
15-10-2020 0.01,1.32E+18,"SHAME on @NikkiHaley for her ridiculous ad for @LindseyGrahamSC -- saying he's fighting for others.  Lady G is ONLY fighting to retain power -- and he is SPINELESS when it comes to controlling #Trump. 

IT IS TIME FOR LINDESY TO GO!!! #SC #SouthCarolina #VoteJaimeHarrisonSC",2,0,Twitter for Android,853873322,Emmett Lee Dickinson,The_Dickinson,"The Emmett Lee Dickinson Museum in Washerst, PA. Dedicated to the life & poetry of Emmett Lee Dickinson (Emily's 3rd Cousin, twice removed -- at her request)",30-09-2012 1.02,625,"WASherst, PA",,,,,,,,0.10.04
15-10-2020 0.01,1.32E+18,@karatblood @KazePlays_JC Grab @realDonaldTrump by the balls &amp; chuck the bastard out the door onto #PennsylvaniaAvenue &amp; form a line &amp; everybody gets to kick #DonaldTrump in the nuts! Please note 1 kick per person only! #BidenHarrisToSaveAmerica #VoteBlueToSaveOurDemocracy,2,0,Twitter for iPhone,36024393,Baylee,bayleewashere,"when the going gets tough, the weird turn pro. My tweets are mine. she/her #SWATT #LGBTQ #BlackLivesMatter #BlueWave2020 🌊#ProudDemocrat #ProudTransWomen",28-04-2009 8.55,1952,"Western Washington, USA",41.8828229,-87.686307,Chicago,United States of America,North America,Illinois,IL,0.10.08
15-10-2020 0.01,1.32E+18,"#Trump 

Le Pdt @realDonaldTrump: 
""Nous ne sommes pas venus d'aussi loin, avons surmonté tout cela et nous nous sommes battus si durement, pour rendre notre pays au marais dépravé de Washington!""
#TrumpRallyDesMoines https://t.co/S3pLbcWJgS",8,6,Twitter for Android,7.71E+17,Samsonite07,kleensamsonite,"🇮🇱🇺🇸🇨🇿 God Before!! Pro-TRUMP-POUTINE-Bolsanaro-ISRAËL- Anti-UE  
Blocked  by Sellin, Henneton,Clemenceau, Araud, Faiche,Corbe,'Braana ,Haim,...😂",01-09-2016 21.38,3847,Costa Rica,10.2735633,-84.0739102,,Costa Rica,North America,,,0.11.02
15-10-2020 0.01,1.32E+18,Ice Cube is teaming up to work with President Trump in developing The Platinum Plan. #2020election #AfricanAmericans #BlackAmerican #DiamondandSilk #DonaldTrump #featuredonWJLive #politics #race #TWJReports #USnews https://t.co/XFkzWFMbK0,14,6,dlvr.it,2217181338,Conservative Tribune,conserv_tribune,"🇺🇸Commentary by The Western Journal 
Editor-in-Chief - @georgeupper
Deputy Managing Editor, Assignment - @josh_manning
Read more at @westjournalism",27-11-2013 4.58,74657,United States,39.7837304,-100.4458825,,United States,North America,,,0.11.06
15-10-2020 0.01,1.32E+18,"@maries_trella @CarmenAColeman @hugoventura @marvinicio @MicaelaTacconi Otro jonrón de #Trump. 👊🏻Y que no se nos olvide que ahí también están involucrados los #ClintonCrimeFamily y #Obama, por mencionar algunos. https://t.co/w2qxZuZfT0",5,2,Twitter for Android,9.78E+17,ClauMorales,ClauMor32263091,No DM por favor.,25-03-2018 4.57,1700,,,,,,,,,0.11.09
15-10-2020 0.01,1.32E+18,"@FloridaMan__ Lemme make sure I get this right ... sooo ... *checks notes* ... the 1st #tRump supporter vandalized the property of the 2nd #tRump supporter,  because the 1st #tRump supporter believed that 2nd #tRump supporter was making #TrumpCovid19 look 'too racist'? 

Did I get it all?? https://t.co/bkH8R737Qa",6,0,Twitter for Android,52864730,Ćhřïş ţhě Fîŕ§ţ...of the house of Black Man🇧🇧😎⛱,Reddmanx,Caution : Educated Black Male ..|.. {Quotable} “It’s easier to fool people than to convince them they’ve been fooled.” (Mark Twain),01-07-2009 21.55,209,Barbados,13.1500331,-59.5250305,,Barbados,North America,,,0.12.03
15-10-2020 0.01,1.32E+18,"#BlacksForTrump 
#BlackVoicesForTrump 
#BidenIsARacist 
#BlackFathersMatter 
#BlackVotersMatter 
Vote @GOP down ticket &amp; give #Trump somebody to work with 
#DemocratsAreDestroyingAmerica https://t.co/fiqQfIhJgi",1,1,Twitter Web App,2818208253,RickenRich,RickenRich,"Rickenbacker guitars and basses are the interest... and Military History, Generals, that kind of thing; and musings about Political conspiracies; support BrOTs",09-10-2014 3.25,604,"California, USA",36.7014631,-118.7559974,,United States of America,North America,California,CA,0.12.07
15-10-2020 0.01,1.32E+18,"@ChrisDJackson New respect here for @Scaramucci. 

The vile, hateful ugliness of #Trump’s #LawAndOrder America.",0,0,Twitter for iPhone,9.98E+17,Florida Public Affairs Consultants,FLPublicAffairs,#PublicAffairs #Government #Legislature #Communications #PublicRelations #PR #Graphics #SocialMedia #Content #Marketing #Advertising,18-05-2018 20.34,358,"Florida, USA",27.7567667,-81.4639835,,United States of America,North America,Florida,FL,0.13.01
15-10-2020 0.01,1.32E+18,"Who does #trump owe 420 million dollars to? What are the terms? Who is #DonaldTrump beholden to? WE DEMAND TO KNOW!
#TrumpIsANationalSecurityRisk 
#FollowTheMoney 
#TrumpTaxCheat 
#TrumpTaxFraud",1,0,Twitter Web App,16110770,Therese Flanagan 🌊 🏳️‍🌈✊,thereseflanagan,I read; I write; I shoot photos. Chocolate is involved. There is also coffee and ale. #WarrenDem #TheResistance #BlueWave 🌊 #FreePress #BlackLivesMatter,03-09-2008 10.29,8345,Chicago,41.8755616,-87.6244212,Chicago,United States of America,North America,Illinois,IL,0.13.04
15-10-2020 0.01,1.32E+18,"🤚#trump's the biggest Liar evner
#VoteHimOut https://t.co/I5HtocsW3z",0,0,Twitter for Android,7.06E+17,Bente petersen,bentepmail,"i am from Denmark
65 & women.
i love animals ❤️ ❤️❤️❤️ ❤️
got 
4 resqued cats & 3 resqued dogs
i HATE Thrump 🤮🤮🤮🤮🤮",05-03-2016 22.08,413,Danmark,,,,,,,,0.14.02
15-10-2020 0.01,1.32E+18,"#JimJordan, #DevinNunes, #MattGaetz, #JohnCornyn, #BillBarr, #DonaldTrump &amp; the rest who railed about it, should be indicted &amp; go to jail for perpetuating a fraud against the #American people over the perfectly legal ""unmasking"" of General Flynn.
They make me sick!

#LockThemUp! https://t.co/m7XSsW58eh",0,0,Twitter Web App,2162825861,Debra Bock,vapermom,"Married, disabled Mom w/2 GREAT sons.
Medical & legal experience.
Fights for the little guy, downtrodden & working class.
❤America, equality & humanity",01-11-2013 4.50,296,"New Jersey, USA",40.0757384,-74.4041622,,United States of America,North America,New Jersey,NJ,0.14.06
15-10-2020 0.01,1.32E+18,😬 The emperor will have no clothes by the end of the rally. 🤢 #Trump https://t.co/gOASwZgdUb,0,0,Twitter for Android,1.17E+18,Lee Saunders,LeeSaunders72,Actress | Old soul young at heart | Coffee addict,16-09-2019 7.58,1069,"Leeds/Manchester/London, UK",54.7023545,-3.2765753,,United Kingdom,Europe,,,0.14.09
15-10-2020 0.01,1.32E+18,@icecube good for you. @TheDemocrats only care if you toe the line and follow their narrative. They do not care if they help the under served as they claim. #DonaldTrump policies helped black America and they cannot give him any credit. @TheDemocrats policies have never helped! https://t.co/jsPC0HjIXZ,0,0,Twitter for iPad,549280257,Berry,berryleonard,"Christian Pro-Life Conservative, BS Electrical Engineering @UCF, Real Estate Investor.",09-04-2012 12.41,10,,,,,,,,,0.15.03
15-10-2020 0.01,1.32E+18,@DavidJHarrisJr #DemsAreCorrupt #Trump #FourMoreYears https://t.co/uH11Hb1DdH,1,0,Twitter Web App,210165301,Dino0726,dino0726,Against Stupid; Against anarchy; Against BLM and Antifa; Pro-Life; Christian; Wife; Mother of two; Grandmother (MeMe) of five; Obsessed with politics,30-10-2010 18.43,1988,,,,,,,,,0.15.07
15-10-2020 0.01,1.32E+18,"#TheWeek: ""#Trump in Penn: ""I saved suburbia. I got rid of a regulation that was a disaster and it was really unfair and it's gotten a lot worse under Obama and Biden. You damn well better vote for me Pennsylvania, you better vote."" But he never did identify the 'regulation.' https://t.co/7CX0PBJ2hA",0,0,Twitter Web App,58488519,thelaughmakers@gmail.com,TheLaughMakers,"Attorney, TV comedy writer, author of THE LAUGH MAKERS: A Tribute to Bob Hope's Gag Writers, multi media show ""Bob Hope Backstage.""Instructor at https://t.co/34cEoBAeiw",20-07-2009 14.37,1855,"Studio City, California",34.1483989,-118.3961877,Los Angeles,United States of America,North America,California,CA,0.16.04
15-10-2020 0.01,1.32E+18,"#TheReidOut 

Am I suppose to feel badly for @OMAROSA? Isn't she the person who once claimed #Trump critics would have to bow at the feet of Donald? Sorry the snakes deserve one another. 

@JoyAnnReid",2,0,Twitter for Android,2903257517,CitizenTaylor,CommonToadnMd,"Lifelong Democrat. Joe Biden for President 2020,
Anti-Trump, proud member of the coastal elite. Truthteller to the nation's #Deplorables.",03-12-2014 3.11,83,"Washington, DC",38.8949924,-77.0365581,Washington,United States of America,North America,District of Columbia,DC,0.16.00
15-10-2020 0.02,1.32E+18,#Trump is tearing up #Biden at the #TrumpRally over the #HunterBidenEmails,0,1,Twitter Web App,138870199,BIBLE MAN ✝️ Jesus' Rapture The Last Day John 6:40,acceptjesusnow,Jesus' #Rapture Prophecy The Last Day. This is the only correct explication of the Rapture ever published. https://t.co/qvS2JBo4l4,30-04-2010 21.28,2589,"Hemet, California  ",33.7475203,-116.9719684,,United States of America,North America,California,CA,0.16.08
15-10-2020 0.02,1.32E+18,"#Trump #Obama #Clinton #Biden

#ManWomanPersonCameraTV

#RockPaperScissors

#HandsFaceSpace

#VoteJoeBiden 

#USElection #USElection2020

#Pence vs #Harris

#DrugsTest #TrumpDrugs #BidenDrugs

#InjectDisinfectant #PowerfulLight through the skin or some other way 😳🙆🏽‍♂️🤷🏽‍♂️🤦🏽‍♂️ https://t.co/tBqSpgWoR0",0,0,Twitter for iPhone,132163121,Saroop Rooprai FIA,roshannnikhil,🌶G20 YEA UK DELEGATE 🌶ACTUARY 🌶 CORPORATE FINANCE 🌶KPMG Veteran 🌶REAL ESTATE 🌶BRAND AMBASSADOR 🌶NED 🌶PENSION TRUSTEE 🌶CHEF 🌶LFC YNWA,12-04-2010 13.11,841,"London, UK",51.5073219,-0.1276474,London,United Kingdom,Europe,England,ENG,0.17.02
15-10-2020 0.02,1.32E+18,https://t.co/7Wu52qsofx @realDonaldTrump #Election2020 #Trump,0,0,Twitter Web App,1.29E+18,Refragium,refragium,I call balls and strikes.,01-08-2020 3.43,4,,,,,,,,,0.17.05
15-10-2020 0.02,1.32E+18,"#DonaldTrump is a liar.
#TrumpRallyDesMoines https://t.co/me4dqasCWU",0,0,Twitter for Android,412036425,It Is Merely Me,andThisAndThat,"If you can't feed 100 people then feed just one.      

#SaveTheEarth #ClimateChange #ClimateAction
🇱🇷⚖🗽🌏
#Resist #VoteBlue",14-11-2011 5.49,5966,Mother Earth,,,,,,,,0.17.09
15-10-2020 0.02,1.32E+18,I have lost track of what #Trump is talking about. So has Trump.,2,1,Twitter Web App,8436472,snarke,snarke,"Will mock for food! Freelance writer, blogger, commentator. Civics nerd. She/Her",26-08-2007 5.56,1185,Portland,45.5202471,-122.6741949,Portland,United States of America,North America,Oregon,OR,0.18.03
15-10-2020 0.02,1.32E+18,"@MarcInPhoenix @CIAspygirl #Trump
#TrumpLiesAmericansDie 

80+ researchers warn that a so-called #herdimmunity approach to managing #COVID19 is “a dangerous fallacy unsupported by the scientific evidence” #WCPH2020 

#WearAMask 
#MaskUp 

https://t.co/96TExQws1Z",0,0,Twitter Web App,240532719,William Jones 😷🌊 🇦🇺🐸,william7424,"Retired International Banker(Don't hold this against me, I cleaned up messes LOL), Avid GeoPolitical and National Political observer",20-01-2011 4.11,1776,Australia,-24.7761086,134.755,,Australia,Oceania,,,0.18.07
15-10-2020 0.02,1.32E+18,"@NegarMortazavi #tRump is according to his niece a metally sick person. How can you ask such a mental case to behave as a feeling person?

#tRump ist the -&gt; Pest Of The United States",0,0,Twitter Web App,99734332,Nice_Guy 🤨 🏳️‍🌈 ✌️🏳️,3_X_Taeglich,Irgendwas mit IT. Antifaschist. #Love #Peace✌️ #NoWar🏳️ #niemalsAfD,27-12-2009 16.14,128,,,,,,,,,0.19.00
15-10-2020 0.02,1.32E+18,#Trump  SH-T  Show 👇👇👇👇 https://t.co/nE2OifBXmH,0,0,Twitter for iPhone,1.01E+18,Inconvenient Truth 🌊🌊🌊,InconvenientTr5,Spreading the #Truth. #ScienceMatters. #TrumpLiesAmericansDIE.  #VOTE #TrumpCrimeFamily OUT on #ElectionDay,17-06-2018 5.30,812,#BlueWave USA 🌊🌊🌊🌊🌊,,,,,,,,0.19.04
